,Track name,Artist name,Track uri,Popularity,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Key,Track type,sentiment,sentiment score
78,3 O'Clock Things,AJR,spotify:track:1eBTEpc48XiXZUeXEcZuRi,47,0.685,0.523,-8.633,1.0,0.0783,0.0344,0.0,0.161,0.346,94.026,228377.0,6.0,Pop,Positive,86.04
79,3 Peg,Sharry Mann,spotify:track:3G8o2zm7LaF6eeVuvLlrkJ,56,0.69,0.926,-0.223,0.0,0.253,0.14,0.0,0.112,0.791,167.927,204396.0,0.0,"At home, Punjabi",Neutral,0.0
80,"3, 2, 1",24kGoldn,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,68,0.692,0.7,-2.09,1.0,0.148,0.242,0.0,0.15,0.704,165.024,131596.0,0.0,Pop,Negative,65.10000000000001
81,30,Lee Aram,spotify:track:2mF0a6QdJY5WDWar4THKyi,34,0.69,0.605,-7.504,1.0,0.176,0.472,0.0,0.14,0.755,158.01,204600.0,11.0,K-pop,Positive,85.55
82,307 - Tadipaar,MC STAN,spotify:track:3ykJ0aV5PDv4ELluV4wJQX,40,0.598,0.658,-7.159,0.0,0.0766,0.389,0.0,0.582,0.473,106.807,152558.0,1.0,Indie,Negative,52.669999999999995
83,33 “GOD”,Bon Iver,spotify:track:1LfWibYjk0TD8YNPtzym9A,59,0.52,0.389,-10.476,1.0,0.0403,0.83,0.0265,0.0937,0.326,133.113,213000.0,4.0,"Indie, Decades",Negative,61.980000000000004
84,34+35,Ariana Grande,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,89,0.83,0.585,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,173711.0,0.0,Pop,Positive,98.47
85,3:59 AM,DIVINE,spotify:track:2gNMXJDKRmKWuevBGjN8wo,67,0.669,0.588,-6.902,1.0,0.339,0.177,0.0,0.179,0.237,97.026,272197.0,2.0,Indie,Positive,10.07
86,4 Da Gang (with Roddy Ricch),42 Dugg,spotify:track:4KIkADzoVm3A10E9qyjsQ5,79,0.871,0.545,-10.489,1.0,0.189,0.0143,0.0,0.148,0.722,100.482,155720.0,7.0,RADAR,Negative,90.74
87,4 Hz Theta Drone,Theta Max,spotify:track:5zz6lTmT0vq9CU5aukUYYW,46,0.147,0.0208,-28.005,1.0,0.0458,0.96,0.835,0.111,0.45,69.932,214000.0,1.0,"At home, Student",Neutral,0.0
88,4 Yaar,Parmish Verma,spotify:track:2sL8bt7tw3m5j9cVJB22hP,45,0.751,0.816,-4.073,0.0,0.111,0.0469,0.0,0.394,0.36,85.995,181755.0,2.0,Punjabi,Negative,58.589999999999996
89,4 Yaar,Parmish Verma,spotify:track:3PkTSiCm3Etty1OLzDdfTh,36,0.751,0.816,-4.073,0.0,0.111,0.0469,0.0,0.394,0.36,85.995,181755.0,2.0,"Punjabi, Student",Negative,58.589999999999996
90,4 Yaar,Parmish Verma,spotify:track:6QKk9MwfPypQV3YifFIPKj,33,0.702,0.816,-4.067,0.0,0.134,0.0482,0.0,0.395,0.364,85.663,181755.0,2.0,Student,Negative,58.589999999999996
